U_10,fhs_s,fhs_ns,h_ns,fmc,DF,wrf,ROS
0.0,1.0,1.0,20.0,30.0,9.0,3.0,1.5
0.0,1.0,1.0,20.0,30.0,9.0,4.0,1.5
0.0,1.0,1.0,20.0,30.0,9.0,5.0,1.5
0.0,1.0,1.0,20.0,30.0,9.0,6.0,1.5
0.0,1.0,1.0,25.0,0.0,1.0,2.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,1.0,3.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,1.0,4.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,1.0,5.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,1.0,6.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,3.0,2.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,3.0,3.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,3.0,4.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,3.0,5.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,3.0,6.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,5.0,2.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,5.0,3.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,5.0,4.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,5.0,5.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,5.0,6.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,7.0,2.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,7.0,3.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,7.0,4.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,7.0,5.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,7.0,6.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,9.0,2.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,9.0,3.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,9.0,4.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,9.0,5.0,69.29112878827796
0.0,1.0,1.0,25.0,0.0,9.0,6.0,69.29112878827796
0.0,1.0,1.0,25.0,10.0,1.0,2.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,1.0,3.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,1.0,4.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,1.0,5.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,1.0,6.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,3.0,2.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,3.0,3.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,3.0,4.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,3.0,5.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,3.0,6.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,5.0,2.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,5.0,3.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,5.0,4.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,5.0,5.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,5.0,6.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,7.0,2.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,7.0,3.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,7.0,4.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,7.0,5.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,7.0,6.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,9.0,2.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,9.0,3.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,9.0,4.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,9.0,5.0,17.609917578851142
0.0,1.0,1.0,25.0,10.0,9.0,6.0,17.609917578851142
0.0,1.0,1.0,25.0,20.0,1.0,2.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,1.0,3.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,1.0,4.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,1.0,5.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,1.0,6.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,3.0,2.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,3.0,3.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,3.0,4.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,3.0,5.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,3.0,6.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,5.0,2.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,5.0,3.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,5.0,4.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,5.0,5.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,5.0,6.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,7.0,2.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,7.0,3.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,7.0,4.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,7.0,5.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,7.0,6.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,9.0,2.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,9.0,3.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,9.0,4.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,9.0,5.0,6.247661334227836
0.0,1.0,1.0,25.0,20.0,9.0,6.0,6.247661334227836
0.0,1.0,1.0,25.0,30.0,1.0,2.0,1.5
0.0,1.0,1.0,25.0,30.0,1.0,3.0,1.5
0.0,1.0,1.0,25.0,30.0,1.0,4.0,1.5
0.0,1.0,1.0,25.0,30.0,1.0,5.0,1.5
0.0,1.0,1.0,25.0,30.0,1.0,6.0,1.5
0.0,1.0,1.0,25.0,30.0,3.0,2.0,1.5
0.0,1.0,1.0,25.0,30.0,3.0,3.0,1.5
0.0,1.0,1.0,25.0,30.0,3.0,4.0,1.5
0.0,1.0,1.0,25.0,30.0,3.0,5.0,1.5
0.0,1.0,1.0,25.0,30.0,3.0,6.0,1.5
0.0,1.0,1.0,25.0,30.0,5.0,2.0,1.5
0.0,1.0,1.0,25.0,30.0,5.0,3.0,1.5
0.0,1.0,1.0,25.0,30.0,5.0,4.0,1.5
0.0,1.0,1.0,25.0,30.0,5.0,5.0,1.5
0.0,1.0,1.0,25.0,30.0,5.0,6.0,1.5
0.0,1.0,1.0,25.0,30.0,7.0,2.0,1.5
0.0,1.0,1.0,25.0,30.0,7.0,3.0,1.5
0.0,1.0,1.0,25.0,30.0,7.0,4.0,1.5
0.0,1.0,1.0,25.0,30.0,7.0,5.0,1.5
0.0,1.0,1.0,25.0,30.0,7.0,6.0,1.5
0.0,1.0,1.0,25.0,30.0,9.0,2.0,1.5
0.0,1.0,1.0,25.0,30.0,9.0,3.0,1.5
0.0,1.0,1.0,25.0,30.0,9.0,4.0,1.5
0.0,1.0,1.0,25.0,30.0,9.0,5.0,1.5
0.0,1.0,1.0,25.0,30.0,9.0,6.0,1.5
0.0,1.0,2.0,5.0,0.0,1.0,2.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,1.0,3.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,1.0,4.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,1.0,5.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,1.0,6.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,3.0,2.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,3.0,3.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,3.0,4.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,3.0,5.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,3.0,6.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,5.0,2.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,5.0,3.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,5.0,4.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,5.0,5.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,5.0,6.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,7.0,2.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,7.0,3.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,7.0,4.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,7.0,5.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,7.0,6.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,9.0,2.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,9.0,3.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,9.0,4.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,9.0,5.0,69.29112878827796
0.0,1.0,2.0,5.0,0.0,9.0,6.0,69.29112878827796
0.0,1.0,2.0,5.0,10.0,1.0,2.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,1.0,3.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,1.0,4.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,1.0,5.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,1.0,6.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,3.0,2.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,3.0,3.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,3.0,4.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,3.0,5.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,3.0,6.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,5.0,2.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,5.0,3.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,5.0,4.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,5.0,5.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,5.0,6.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,7.0,2.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,7.0,3.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,7.0,4.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,7.0,5.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,7.0,6.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,9.0,2.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,9.0,3.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,9.0,4.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,9.0,5.0,17.609917578851142
0.0,1.0,2.0,5.0,10.0,9.0,6.0,17.609917578851142
0.0,1.0,2.0,5.0,20.0,1.0,2.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,1.0,3.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,1.0,4.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,1.0,5.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,1.0,6.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,3.0,2.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,3.0,3.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,3.0,4.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,3.0,5.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,3.0,6.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,5.0,2.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,5.0,3.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,5.0,4.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,5.0,5.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,5.0,6.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,7.0,2.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,7.0,3.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,7.0,4.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,7.0,5.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,7.0,6.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,9.0,2.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,9.0,3.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,9.0,4.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,9.0,5.0,6.247661334227836
0.0,1.0,2.0,5.0,20.0,9.0,6.0,6.247661334227836
0.0,1.0,2.0,5.0,30.0,1.0,2.0,1.5
0.0,1.0,2.0,5.0,30.0,1.0,3.0,1.5
0.0,1.0,2.0,5.0,30.0,1.0,4.0,1.5
0.0,1.0,2.0,5.0,30.0,1.0,5.0,1.5
0.0,1.0,2.0,5.0,30.0,1.0,6.0,1.5
0.0,1.0,2.0,5.0,30.0,3.0,2.0,1.5
0.0,1.0,2.0,5.0,30.0,3.0,3.0,1.5
0.0,1.0,2.0,5.0,30.0,3.0,4.0,1.5
0.0,1.0,2.0,5.0,30.0,3.0,5.0,1.5
0.0,1.0,2.0,5.0,30.0,3.0,6.0,1.5
0.0,1.0,2.0,5.0,30.0,5.0,2.0,1.5
0.0,1.0,2.0,5.0,30.0,5.0,3.0,1.5
0.0,1.0,2.0,5.0,30.0,5.0,4.0,1.5
0.0,1.0,2.0,5.0,30.0,5.0,5.0,1.5
0.0,1.0,2.0,5.0,30.0,5.0,6.0,1.5
0.0,1.0,2.0,5.0,30.0,7.0,2.0,1.5
0.0,1.0,2.0,5.0,30.0,7.0,3.0,1.5
0.0,1.0,2.0,5.0,30.0,7.0,4.0,1.5
0.0,1.0,2.0,5.0,30.0,7.0,5.0,1.5
0.0,1.0,2.0,5.0,30.0,7.0,6.0,1.5
0.0,1.0,2.0,5.0,30.0,9.0,2.0,1.5
0.0,1.0,2.0,5.0,30.0,9.0,3.0,1.5
0.0,1.0,2.0,5.0,30.0,9.0,4.0,1.5
0.0,1.0,2.0,5.0,30.0,9.0,5.0,1.5
0.0,1.0,2.0,5.0,30.0,9.0,6.0,1.5
0.0,1.0,2.0,10.0,0.0,1.0,2.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,1.0,3.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,1.0,4.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,1.0,5.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,1.0,6.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,3.0,2.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,3.0,3.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,3.0,4.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,3.0,5.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,3.0,6.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,5.0,2.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,5.0,3.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,5.0,4.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,5.0,5.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,5.0,6.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,7.0,2.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,7.0,3.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,7.0,4.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,7.0,5.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,7.0,6.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,9.0,2.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,9.0,3.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,9.0,4.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,9.0,5.0,69.29112878827796
0.0,1.0,2.0,10.0,0.0,9.0,6.0,69.29112878827796
0.0,1.0,2.0,10.0,10.0,1.0,2.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,1.0,3.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,1.0,4.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,1.0,5.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,1.0,6.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,3.0,2.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,3.0,3.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,3.0,4.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,3.0,5.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,3.0,6.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,5.0,2.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,5.0,3.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,5.0,4.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,5.0,5.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,5.0,6.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,7.0,2.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,7.0,3.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,7.0,4.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,7.0,5.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,7.0,6.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,9.0,2.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,9.0,3.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,9.0,4.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,9.0,5.0,17.609917578851142
0.0,1.0,2.0,10.0,10.0,9.0,6.0,17.609917578851142
0.0,1.0,2.0,10.0,20.0,1.0,2.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,1.0,3.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,1.0,4.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,1.0,5.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,1.0,6.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,3.0,2.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,3.0,3.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,3.0,4.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,3.0,5.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,3.0,6.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,5.0,2.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,5.0,3.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,5.0,4.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,5.0,5.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,5.0,6.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,7.0,2.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,7.0,3.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,7.0,4.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,7.0,5.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,7.0,6.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,9.0,2.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,9.0,3.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,9.0,4.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,9.0,5.0,6.247661334227836
0.0,1.0,2.0,10.0,20.0,9.0,6.0,6.247661334227836
0.0,1.0,2.0,10.0,30.0,1.0,2.0,1.5
0.0,1.0,2.0,10.0,30.0,1.0,3.0,1.5
0.0,1.0,2.0,10.0,30.0,1.0,4.0,1.5
0.0,1.0,2.0,10.0,30.0,1.0,5.0,1.5
0.0,1.0,2.0,10.0,30.0,1.0,6.0,1.5
0.0,1.0,2.0,10.0,30.0,3.0,2.0,1.5
0.0,1.0,2.0,10.0,30.0,3.0,3.0,1.5
0.0,1.0,2.0,10.0,30.0,3.0,4.0,1.5
0.0,1.0,2.0,10.0,30.0,3.0,5.0,1.5
0.0,1.0,2.0,10.0,30.0,3.0,6.0,1.5
0.0,1.0,2.0,10.0,30.0,5.0,2.0,1.5
0.0,1.0,2.0,10.0,30.0,5.0,3.0,1.5
0.0,1.0,2.0,10.0,30.0,5.0,4.0,1.5
0.0,1.0,2.0,10.0,30.0,5.0,5.0,1.5
0.0,1.0,2.0,10.0,30.0,5.0,6.0,1.5
0.0,1.0,2.0,10.0,30.0,7.0,2.0,1.5
0.0,1.0,2.0,10.0,30.0,7.0,3.0,1.5
0.0,1.0,2.0,10.0,30.0,7.0,4.0,1.5
0.0,1.0,2.0,10.0,30.0,7.0,5.0,1.5
0.0,1.0,2.0,10.0,30.0,7.0,6.0,1.5
0.0,1.0,2.0,10.0,30.0,9.0,2.0,1.5
0.0,1.0,2.0,10.0,30.0,9.0,3.0,1.5
0.0,1.0,2.0,10.0,30.0,9.0,4.0,1.5
0.0,1.0,2.0,10.0,30.0,9.0,5.0,1.5
0.0,1.0,2.0,10.0,30.0,9.0,6.0,1.5
0.0,1.0,2.0,15.0,0.0,1.0,2.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,1.0,3.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,1.0,4.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,1.0,5.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,1.0,6.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,3.0,2.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,3.0,3.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,3.0,4.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,3.0,5.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,3.0,6.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,5.0,2.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,5.0,3.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,5.0,4.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,5.0,5.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,5.0,6.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,7.0,2.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,7.0,3.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,7.0,4.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,7.0,5.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,7.0,6.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,9.0,2.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,9.0,3.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,9.0,4.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,9.0,5.0,69.29112878827796
0.0,1.0,2.0,15.0,0.0,9.0,6.0,69.29112878827796
0.0,1.0,2.0,15.0,10.0,1.0,2.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,1.0,3.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,1.0,4.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,1.0,5.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,1.0,6.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,3.0,2.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,3.0,3.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,3.0,4.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,3.0,5.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,3.0,6.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,5.0,2.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,5.0,3.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,5.0,4.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,5.0,5.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,5.0,6.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,7.0,2.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,7.0,3.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,7.0,4.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,7.0,5.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,7.0,6.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,9.0,2.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,9.0,3.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,9.0,4.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,9.0,5.0,17.609917578851142
0.0,1.0,2.0,15.0,10.0,9.0,6.0,17.609917578851142
0.0,1.0,2.0,15.0,20.0,1.0,2.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,1.0,3.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,1.0,4.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,1.0,5.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,1.0,6.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,3.0,2.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,3.0,3.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,3.0,4.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,3.0,5.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,3.0,6.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,5.0,2.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,5.0,3.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,5.0,4.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,5.0,5.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,5.0,6.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,7.0,2.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,7.0,3.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,7.0,4.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,7.0,5.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,7.0,6.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,9.0,2.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,9.0,3.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,9.0,4.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,9.0,5.0,6.247661334227836
0.0,1.0,2.0,15.0,20.0,9.0,6.0,6.247661334227836
0.0,1.0,2.0,15.0,30.0,1.0,2.0,1.5
0.0,1.0,2.0,15.0,30.0,1.0,3.0,1.5
0.0,1.0,2.0,15.0,30.0,1.0,4.0,1.5
0.0,1.0,2.0,15.0,30.0,1.0,5.0,1.5
0.0,1.0,2.0,15.0,30.0,1.0,6.0,1.5
0.0,1.0,2.0,15.0,30.0,3.0,2.0,1.5
0.0,1.0,2.0,15.0,30.0,3.0,3.0,1.5
0.0,1.0,2.0,15.0,30.0,3.0,4.0,1.5
0.0,1.0,2.0,15.0,30.0,3.0,5.0,1.5
0.0,1.0,2.0,15.0,30.0,3.0,6.0,1.5
0.0,1.0,2.0,15.0,30.0,5.0,2.0,1.5
0.0,1.0,2.0,15.0,30.0,5.0,3.0,1.5
0.0,1.0,2.0,15.0,30.0,5.0,4.0,1.5
0.0,1.0,2.0,15.0,30.0,5.0,5.0,1.5
0.0,1.0,2.0,15.0,30.0,5.0,6.0,1.5
0.0,1.0,2.0,15.0,30.0,7.0,2.0,1.5
0.0,1.0,2.0,15.0,30.0,7.0,3.0,1.5
0.0,1.0,2.0,15.0,30.0,7.0,4.0,1.5
0.0,1.0,2.0,15.0,30.0,7.0,5.0,1.5
